category,original_HC_label,original_HC_definition,current_termName,review_decision,notes,term_localName,label,rdfs_comment [DEFINITION],dcterms_description [COMMENTS],examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,,,,,,,,,,,
General Dataset & Identification,dataset name,Specified by data entry person. Title of paper in most cases.,datasetName,direct mapping to DwC,,datasetName,Dataset Name,The name identifying the data set from which the record was derived.,,"Grinnell Resurvey Mammals, Lacey Ctenomys Recaptures",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Record-level,,simple,,,,,,,,,,,
General Dataset & Identification,dataset identifier,A unique identifer automatically filled out for the record when ingested to MOL,datasetID,direct mapping to DwC,,datasetID,Dataset ID,An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.,,b15d4952-7d20-46f1-8a3e-556a512b04c5,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Record-level,,simple,,,,,,,,,,,
General Dataset & Identification,dataset publisher,The entity making the dataset available,,deprecate,https://github.com/tdwg/hc/issues/5,,,,,,,,,,,,,,,,,,,,,
General Dataset & Identification,dataset license,The legal description giving official permission to do something with the dataset,license,direct mapping to DwC,,license,License,A legal document giving official permission to do something with the resource.,,"http://creativecommons.org/publicdomain/zero/1.0/legalcode, http://creativecommons.org/licenses/by/4.0/legalcode",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Record-level,,simple,,,,,,,,,,,
General Dataset & Identification,dataset rights holder,The entity that holds the rights to the dataset,rightsHolder,direct mapping to DwC,,rightsHolder,Rights Holders,A person or organization owning or managing rights over the resource.,,The Regents of the University of California,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Record-level,,simple,,,,,,,,,,,
General Dataset & Identification,dataset modified,The date when the dataset was changed,modified,direct mapping to DwC,,modified,Modified,The most recent date-time on which the resource was changed.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,1963-03-08T14:07-0600 (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC). 2009-02-20T08:40Z (20 February 2009 8:40am UTC). 2018-08-29T15:19 (3:19pm local time on 29 August 2018). 1809-02-12 (some time during 12 February 1809). 1906-06 (some time in June 1906). 1971 (some time in the year 1971). 2007-03-01T13:00:00Z/2008-05-11T15:30:00Z (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC). 1900/1909 (some time during the interval between the beginning of the year 1900 and the end of the year 1909). 2007-11-13/15 (some time in the interval between 13 November 2007 and 15 November 2007).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Record-level,,simple,,,,,,,,,,,
General Dataset & Identification,inventory performed by,The person or people who performed the inventory,samplingPerformedBy,HC term,,samplingPerformedBy,Sampling Performed By,"A person, group, or organization responsible for recording the sampling event(s) contributing to the one referred to in the record.","The sampling event could be of any hierarchy, including individual inventories and summary inventories.
 In the case of a summary inventory include all the organizations or people involved in the individual sampling events that contributed to the compilation. Recommended best practice is to separate the values from different inventories in a list with space vertical bar space ( | ).","Individual sampling examples: 'North American Butterlfy Association', 'KK Wall'. Summary inventory example: 'JJ Green, LL Pink and FF Grey | Aspen Center for Environmental Studies'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
General Dataset & Identification,citation reference,The APA formatted reference to the published description of the checklist,bibliographicCitation,direct mapping to DwC,Request to add event example in DwC: https://github.com/tdwg/dwc/issues/311,bibliographicCitation,Bibliographic Citation,A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used.,Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.,"Specimen example: Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal. Taxon example: Oliver P. Pearson. 1985. Los tuco-tucos (genera Ctenomys) de los Parques Nacionales Lanin y Nahuel Huapi, Argentina Historia Natural, 5(37):337-343..",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Record-level,,simple,,,,,,,,,,,
General Dataset & Identification,citation identifier,A reference identifer. DOI is preferred but a URI or ISBN number is adequate,,deprecate/indirect mapping,Included in citation reference / bibliographicCitation,,,,,,,,,,,,,,,,,,,,,
General Dataset & Identification,citation URL,"A full URL to the cited document, if available",,deprecate/indirect mapping,Included in citation reference / bibliographicCitation,,,,,,,,,,,,,,,,,,,,,
General Dataset & Identification,metadata recorder,Names of the data entry recorders and validators for this dataset,,EML,EML route would be: eml:dataset/associatedParty and eml:dataset/associatedParty/role. See https://eml.ecoinformatics.org/schema/eml-resource_xsd.html#ResourceGroup_associatedParty. See https://github.com/tdwg/hc/issues/14,,,,,,,,,,,,,,,,,,,,,
General Dataset & Identification,metadata reviewer,Names of those reviewing entries during a QA/QC process,,EML,EML route would be: eml:dataset/associatedParty and eml:dataset/associatedParty/role. See https://eml.ecoinformatics.org/schema/eml-resource_xsd.html#ResourceGroup_associatedParty. See https://github.com/tdwg/hc/issues/14,,,,,,,,,,,,,,,,,,,,,
General Dataset & Identification,taxa identified by,The agent(s) who performed taxonomic identifications in the field,identifiedBy,Needs group review,https://github.com/tdwg/hc/issues/7,identifiedBy,Identified By,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject.",Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,"James L. Patton, Theodore Pappenfuss | Robert Macey",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Identification,,extension,,,,,,,,,,,
General Dataset & Identification,assessed quality of taxonomic identifications,How confident is the assessor in the quality of identifications on a scale from 1 (not confident) to 5 (fully confident),identificationQuality OR identificationQualifier,deprecate,https://github.com/tdwg/hc/issues/6,,,,,,,,,,,,,,,,,,,,,
General Dataset & Identification,citation reference of taxonomic authority for identification,The published reference to the taxonomic authority used in the checklist,identificationReferences,Needs group review,similar to issue https://github.com/tdwg/hc/issues/7,identificationReferences,Identification References,"A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the Identification.",Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,"Aves del Noroeste Patagonico. Christie et al. 2004., Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata). Herpetologica, 53(1), 30-49.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Identification,,extension,,,,,,,,,,,
Geospatial Scope & Habitat,number of separate sites,Author-reported number of separate sites inventoried,siteCount,HC term,Complete dcterms_description (comments) when issue is solved. https://github.com/tdwg/hc/issues/8,siteCount,,Total number of individual sites inventoried during sampling event(s) contributing to the one referred to in the record.,Site refers to the location at which observations are made or samples/measurements are taken.,"1', '15'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Geospatial Scope & Habitat,site nesting,Author-reported hierarchical sample design e.g. sampled subunits nested with larger units,siteNestingDescription,HC term,Complete dcterms_description (comments) when issue is solved. https://github.com/tdwg/hc/issues/8,siteNestingDescription,,Textual description of the hierarchical sampling design.,Site refers to the location at which observations are made or samples/measurements are taken.,5 individual sampling sites of 3-5 plots each',http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Geospatial Scope & Habitat,site names,Author-reported site names,siteNames,HC term,Proposed term name change. Complete dcterms_description (comments) when issue is solved. https://github.com/tdwg/hc/issues/8,verbatimSiteNames,,A list (concatenated and separated) of original site names.,"Recommended best practice is to separate the values in a list with space vertical bar space ( | ). [COMPLETE THIS when we get the definition of ""site""]","East Coastal Fringe | St. Marks Wildlife Management Area', 'S1 | S2 | C1 | C2 | R14 | R22 | W1'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Geospatial Scope & Habitat,site details,Author-reported site information (utilizes terms below per site if more than one),siteDetails,HC term,Proposed term name change. Complete dcterms_description (comments) when issue is solved. https://github.com/tdwg/hc/issues/8,verbatimSiteDescription,,Original textual description of survey site(s).,"Recommended best practice is to separate the values in a list with space vertical bar space ( | ). [COMPLETE THIS when we get the definition of ""site""]","Wet flatwoods | Wet depression surrounded by mesic longleaf pine flatwoods | Ground cover of thick Andropogon spp., Sporobolus floridanus, Vaccinium spp, Rhynchospora spp., Centella erecta, Panicum rigidulum.', 'S=scrub | G=grassland | P=pasture | I=dunes | P=Bishop Pine Forest | R=Riparian | W=Redwood Forest'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension,,,,,,,,,,,
Geospatial Scope & Habitat,geospatial scope,"The region of the inventory as described in text form (e.g. ""Kruger National Park"" or ""Alberta"")",,deprecate/indirect mapping,"Mapping to several DwC terms in Location class, all in the Event Core. Request to DwC to add protected area example in dwc:locality
 https://github.com/tdwg/dwc/issues/315. See https://github.com/tdwg/hc/issues/15", ,,,,25,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,total area covered by geospatial scope,Author's reported total area of the geospatial scope in km2,geospatialScopeAreaInSquareKilometers,Needs group review,https://github.com/tdwg/hc/issues/15,geospatialScopeAreaInSquareKilometers,Geospatial Scope Area In Square Kilometers,Total area in km2 of the sampling event(s)' geospatial scope.,This area is always greater than or equal to totalAreaSampledInSquareKilometers.,25,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,total area covered by species inventory,"Author's reported total area covered by effort to inventory species in km2 (always less than or equal to ""geospatial scope"" term above",totalAreaSampledInSquareKilometers,Needs group review,https://github.com/tdwg/hc/issues/15,totalAreaSampledInSquareKilometers,Total Area Sampled In Square Kilometers,Reported total area in km2 covered by the sampling event(s) contributing to the one referred to in the record.,This area is always less than or equal to geospatialScopeAreaInSquareKilometers.,0.8,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,latitude range,Author's reported latitude or latitude range reported for the geospatial scope,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (verbatimLatitude, decimalLatitude, verbatimCoordinates)",,,,,,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,longitude range,Author's reported latitude or longitude range reported for the geospatial scope,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (verbatimLongitude, decimalLongitude, verbatimCoordinates)",,,,,,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,elevation (lower bound),Author's reported elevational lower bound,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (minimumElevationInMeters, verbatimElevation)",,,,,,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,elevation (upper bound),Author's reported elevation upper bound,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (maximumElevationInMeters, verbatimElevation)",,,,,,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,elevation unit,"Author's reported unit of elevation (e.g. meters, feet)",,deprecate,,,,,,,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,depth (lower bound),Author's reported depth lower bound,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (verbatimDepth, minimumDepthInMeters)",,,,,,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,depth (upper bound),Author's reported depth upper bound,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (verbatimDepth, maximumDepthInMeters)",,,,,,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,depth unit,"Author's reported unit of depth (e.g. meters, feet)",,deprecate,,,,,,,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,survey time blocks,"The time blocks in which surveys were performed, either in sum or by site.",,deprecate,https://github.com/tdwg/hc/issues/9,,,,,,,,,,,,,,,,,,,,,
Geospatial Scope & Habitat,number of time units spent surveying in each block,"The number of (months, days, hours) spent in each time block.",,deprecate,https://github.com/tdwg/hc/issues/9,,,,,,,,,,,,,,,,,,,,,
